CMDLINE /home/ioana/.pyenv/versions/3.10.0/envs/cw2/bin/python3.10 run_cv_model.py
MEM 894.250000 1710279299.9016
MEM 880.375000 1710279300.0033
MEM 894.250000 1710279300.1048
MEM 898.515625 1710279300.2059
MEM 878.355469 1710279300.3072
MEM 894.250000 1710279300.4089
MEM 900.601562 1710279300.5106
MEM 907.972656 1710279300.6123
MEM 874.511719 1710279300.7134
MEM 876.617188 1710279300.8151
MEM 895.972656 1710279300.9167
MEM 862.511719 1710279301.0184
MEM 894.511719 1710279301.1202
MEM 880.781250 1710279301.2218
MEM 878.636719 1710279301.3235
MEM 886.511719 1710279301.4257
MEM 876.640625 1710279301.5269
MEM 889.085938 1710279301.6279
MEM 878.613281 1710279301.7295
MEM 862.511719 1710279301.8310
MEM 878.617188 1710279301.9328
MEM 886.511719 1710279302.0343
MEM 876.632812 1710279302.1358
MEM 894.511719 1710279302.2375
MEM 898.785156 1710279302.3392
MEM 907.972656 1710279302.4410
MEM 898.777344 1710279302.5421
MEM 894.511719 1710279302.6433
MEM 900.781250 1710279302.7449
MEM 876.617188 1710279302.8464
MEM 862.511719 1710279302.9481
MEM 894.515625 1710279303.0499
MEM 898.789062 1710279303.1515
MEM 886.515625 1710279303.2531
MEM 900.789062 1710279303.3544
MEM 894.515625 1710279303.4560
MEM 874.519531 1710279303.5577
MEM 880.785156 1710279303.6593
MEM 874.515625 1710279303.7605
MEM 879.132812 1710279303.8616
MEM 887.019531 1710279303.9629
MEM 879.148438 1710279304.0642
MEM 891.507812 1710279304.1657
MEM 879.132812 1710279304.2667
MEM 885.019531 1710279304.3682
MEM 879.164062 1710279304.4695
MEM 895.019531 1710279304.5705
MEM 877.140625 1710279304.6722
MEM 887.019531 1710279304.7738
MEM 908.480469 1710279304.8755
MEM 903.289062 1710279304.9772
MEM 899.285156 1710279305.0789
MEM 879.125000 1710279305.1805
MEM 885.550781 1710279305.2816
MEM 908.480469 1710279305.3832
MEM 887.019531 1710279305.4848
MEM 895.019531 1710279305.5860
MEM 877.125000 1710279305.6879
MEM 895.019531 1710279305.7896
MEM 879.125000 1710279305.8909
MEM 895.019531 1710279305.9927
MEM 877.164062 1710279306.0943
MEM 863.019531 1710279306.1955
MEM 877.125000 1710279306.2968
MEM 887.019531 1710279306.3981
MEM 867.023438 1710279306.4994
MEM 899.292969 1710279306.6007
MEM 895.019531 1710279306.7019
MEM 895.019531 1710279306.8037
MEM 895.019531 1710279306.9074
MEM 895.019531 1710279307.0139
MEM 908.480469 1710279307.1153
MEM 879.148438 1710279307.2170
MEM 875.019531 1710279307.3184
MEM 877.292969 1710279307.4202
MEM 877.136719 1710279307.5219
MEM 879.148438 1710279307.6235
MEM 881.144531 1710279307.7255
MEM 877.125000 1710279307.8282
MEM 875.023438 1710279307.9312
MEM 887.019531 1710279308.0338
MEM 887.019531 1710279308.1356
MEM 899.289062 1710279308.2386
MEM 877.164062 1710279308.3413
MEM 863.023438 1710279308.4439
MEM 887.019531 1710279308.5468
MEM 887.019531 1710279308.6489
MEM 895.019531 1710279308.7521
MEM 879.121094 1710279308.8548
MEM 895.019531 1710279308.9561
MEM 877.289062 1710279309.0573
MEM 895.019531 1710279309.1587
MEM 877.308594 1710279309.2600
MEM 895.015625 1710279309.3616
MEM 895.019531 1710279309.4633
MEM 875.164062 1710279309.5645
MEM 901.285156 1710279309.6663
MEM 908.480469 1710279309.7679
MEM 899.289062 1710279309.8695
MEM 863.023438 1710279309.9711
MEM 897.285156 1710279310.0727
MEM 877.140625 1710279310.1742
MEM 887.019531 1710279310.2759
MEM 879.136719 1710279310.3776
MEM 903.371094 1710279310.4794
MEM 875.164062 1710279310.5811
MEM 877.019531 1710279310.6830
MEM 879.132812 1710279310.7847
MEM 901.292969 1710279310.8862
MEM 895.019531 1710279310.9874
MEM 879.132812 1710279311.0893
MEM 902.480469 1710279311.1912
MEM 901.292969 1710279311.2924
MEM 895.019531 1710279311.3940
MEM 901.289062 1710279311.4952
MEM 896.402344 1710279311.5965
MEM 899.292969 1710279311.6976
MEM 895.019531 1710279311.7992
MEM 877.125000 1710279311.9009
MEM 887.019531 1710279312.0025
MEM 877.285156 1710279312.1041
MEM 895.750000 1710279312.2058
MEM 885.546875 1710279312.3068
MEM 879.148438 1710279312.4078
MEM 895.019531 1710279312.5089
MEM 883.292969 1710279312.6105
MEM 896.480469 1710279312.7123
MEM 891.289062 1710279312.8141
MEM 877.019531 1710279312.9158
